Seconds,Celsius,Fahrenheit
3,24.0,75.2
9,10.6,51.08
12,10.7,51.26
15,10.8,51.44
18,10.8,51.44
21,11.0,51.8
24,11.1,51.980000000000004
27,11.3,52.34
30,11.5,52.7
36,12.0,53.6
39,12.1,53.78
42,12.4,54.32
48,12.9,55.22
51,13.1,55.58
54,13.3,55.94
60,13.8,56.84
63,13.9,57.019999999999996
66,14.2,57.56
69,14.4,57.92
72,14.6,58.28
75,14.8,58.64
78,15.0,59.0
81,15.2,59.36
84,15.4,59.72
87,15.6,60.08
90,15.8,60.44
93,16.0,60.8
96,16.1,60.980000000000004
99,16.3,61.34
102,16.4,61.519999999999996
105,16.6,61.88
108,16.7,62.06
111,16.9,62.42
114,17.0,62.6
117,17.2,62.96
120,17.3,63.14
123,17.4,63.31999999999999
126,17.5,63.5
129,17.6,63.68000000000001
132,17.8,64.03999999999999
135,17.9,64.22
138,18.0,64.4
141,18.1,64.58000000000001
144,18.2,64.75999999999999
147,18.3,64.94
150,18.4,65.12
153,18.5,65.30000000000001
156,18.6,65.48
159,18.7,65.66
162,18.8,65.84
165,18.9,66.02
168,19.0,66.2
174,19.1,66.38
177,19.2,66.56
180,19.3,66.74000000000001
183,19.4,66.92
186,19.4,66.92
192,19.5,67.1
195,19.6,67.28
198,19.7,67.46000000000001
201,19.7,67.46000000000001
204,19.8,67.64
207,19.9,67.82
210,19.9,67.82
213,20.0,68.0
216,20.0,68.0
219,20.1,68.18
222,20.1,68.18
225,20.2,68.36
228,20.3,68.53999999999999
231,20.3,68.53999999999999
234,20.3,68.53999999999999
237,20.5,68.9
240,20.5,68.9
243,20.5,68.9
246,20.6,69.08000000000001
249,20.6,69.08000000000001
252,20.7,69.25999999999999
255,20.7,69.25999999999999
258,20.7,69.25999999999999
261,20.8,69.44
264,20.9,69.62
267,20.9,69.62
270,21.0,69.80000000000001
273,21.0,69.80000000000001
276,21.1,69.98
279,21.1,69.98
282,21.1,69.98
288,21.2,70.16
291,21.2,70.16
294,21.3,70.34
297,21.3,70.34
300,21.3,70.34
303,21.4,70.52
306,21.4,70.52
309,21.4,70.52
312,21.5,70.7
315,21.5,70.7
318,21.5,70.7
321,21.6,70.88
324,21.6,70.88
327,21.7,71.06
330,21.7,71.06
333,21.7,71.06
336,21.7,71.06
342,21.8,71.24000000000001
345,21.8,71.24000000000001
348,21.9,71.42
351,21.9,71.42
354,21.9,71.42
357,21.9,71.42
360,22.0,71.6
363,22.0,71.6
366,22.0,71.6
369,22.0,71.6
372,22.1,71.78
375,22.1,71.78
378,22.1,71.78
384,22.2,71.96000000000001
387,22.2,71.96000000000001
390,22.2,71.96000000000001
393,22.2,71.96000000000001
396,22.2,71.96000000000001
399,22.3,72.14
402,22.3,72.14
408,22.3,72.14
411,22.3,72.14
414,22.4,72.32
420,22.5,72.5
423,22.5,72.5
426,22.5,72.5
429,22.5,72.5
432,22.5,72.5
438,22.5,72.5
441,22.5,72.5
444,22.5,72.5
